instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,trial_letter.started,trial_letter.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials_3.order,trials_2.order
0.0002,1.5307,[-0.017592536078559026],[-0.03425928751627604],[1],[0],[0],[0.5181000000238409],nicktest,001,2025-06-18_00h28.49.000,mouse,2025.1.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,nicktest,001,2025-06-18_00h28.49.000,mouse,2025.1.1,Win32,60.97560976,1.5344,2.1614,[-0.0226851569281684],[-0.05601853264702691],[1],[0],[0],[0.41569999998807816],0,0,0,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,,,,,,,,,,,,,
,,,,,,,,nicktest,001,2025-06-18_00h28.49.000,mouse,2025.1.1,Win32,60.97560976,2.1619,2.6866,[-0.0226851569281684],[-0.05601853264702691],[0],[0],[1],[0.31619999998807913],0,1,1,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,,,,,,,,,,,,,
,,,,,,,,nicktest,001,2025-06-18_00h28.49.000,mouse,2025.1.1,Win32,60.97560976,2.6873,3.3637,[-0.02962960137261285],[-0.03287039862738715],[1],[0],[0],[0.4658000000119209],1,0,2,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,,,,,,,,,,,,,
,,,,,,,,nicktest,001,2025-06-18_00h28.49.000,mouse,2025.1.1,Win32,60.97560976,3.364,3.9197,[-0.02962960137261285],[-0.03287039862738715],[0],[0],[1],[0.3496999999880792],1,1,3,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,,,,,,,,,,,,,
,,,,,,,,nicktest,001,2025-06-18_00h28.49.000,mouse,2025.1.1,Win32,60.97560976,3.9202,4.5956,[-0.02962960137261285],[-0.03287039862738715],[0],[0],[1],[0.4590999999642378],2,0,4,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,,,,,,,,,,,,,
,,,,,,,,nicktest,001,2025-06-18_00h28.49.000,mouse,2025.1.1,Win32,60.97560976,4.596,5.0199,[-0.02962960137261285],[-0.03287039862738715],[0],[0],[1],[0.21569999998807887],2,1,5,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,,,,,,,,,,,,,
,,,,,,,,nicktest,001,2025-06-18_00h28.49.000,mouse,2025.1.1,Win32,60.97560976,5.0201,5.5365,[-0.02962960137261285],[-0.03287039862738715],[1],[0],[0],[0.31659999996423416],3,0,6,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,,,,,,,,,,,,,
,,,,,,,,nicktest,001,2025-06-18_00h28.49.000,mouse,2025.1.1,Win32,60.97560976,5.5368,5.9869,[-0.02962960137261285],[-0.03287039862738715],[0],[0],[1],[0.2266999999880781],3,1,7,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,,,,,,,,,,,,,
,,,,,,,,nicktest,001,2025-06-18_00h28.49.000,mouse,2025.1.1,Win32,60.97560976,5.9877,6.5198,[-0.02962960137261285],[-0.03287039862738715],[1],[0],[0],[0.3163999999761593],4,0,8,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,,,,,,,,,,,,,
,,,,,,,,nicktest,001,2025-06-18_00h28.49.000,mouse,2025.1.1,Win32,60.97560976,6.5202,6.9697,[-0.02962960137261285],[-0.03287039862738715],[0],[0],[1],[0.2328999999761585],4,1,9,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,,,,,,,,,,,,,
,,,,,,,,nicktest,001,2025-06-18_00h28.49.000,mouse,2025.1.1,Win32,60.97560976,,,,,,,,,,,,,,stimuli/mouse_right_letter.jpg,letter,R,6.9716,7.9033,[-0.049074045817057294],[-0.019444444444444445],[1],[0],[0],[0.7331000000238426],0,0,0,1,1,,,,,,,
,,,,,,,,nicktest,001,2025-06-18_00h28.49.000,mouse,2025.1.1,Win32,60.97560976,,,,,,,,,,,,,,stimuli/mouse_left_letter.jpg,letter,L,7.9036,,,,,,,,0,1,1,0,1,0,0,0,0,1,0,9
